,Precisiones FSDD KNN,Precisiones mrmrMID KNN,Precisiones reliefF KNN,Precisiones FSDD DT,Precisiones mrmrMID DT,Precisiones reliefF DT,Precisiones FSDD NB,Precisiones mrmrMID NB,Precisiones reliefF NB,Precisiones FSDD SVM,Precisiones mrmrMID SVM,Precisiones reliefF SVM
38,0.969,0.898,0.9444999999999999,0.9325000000000001,0.8895,0.842,0.955,0.876,0.8694999999999999,0.9775,0.933,0.958
39,0.966,0.8975,0.9475,0.931,0.891,0.8425,0.953,0.8775,0.8685,0.9764999999999999,0.9325000000000001,0.9584999999999999
40,0.9664999999999999,0.902,0.9464999999999999,0.937,0.8935,0.8485,0.9544999999999999,0.877,0.866,0.978,0.9359999999999999,0.9575
41,0.9635,0.9035,0.9464999999999999,0.933,0.9015,0.8414999999999999,0.9535,0.8785000000000001,0.8605,0.9775,0.937,0.958
42,0.9644999999999999,0.9045000000000001,0.9455,0.926,0.8975,0.846,0.958,0.875,0.8654999999999999,0.977,0.9359999999999999,0.9575
43,0.9644999999999999,0.9055,0.945,0.9355,0.9,0.8485,0.957,0.8725,0.8625,0.977,0.9359999999999999,0.9584999999999999
44,0.9655,0.907,0.9475,0.939,0.8975,0.8414999999999999,0.957,0.877,0.863,0.9775,0.9385,0.959
45,0.961,0.903,0.9475,0.935,0.9005000000000001,0.8365,0.957,0.8785000000000001,0.864,0.9764999999999999,0.9395,0.962
46,0.9564999999999999,0.906,0.947,0.9365,0.8845000000000001,0.8465,0.9544999999999999,0.878,0.8605,0.9744999999999999,0.94,0.96
47,0.956,0.9075,0.9475,0.9375,0.89,0.8425,0.9544999999999999,0.879,0.8685,0.974,0.9410000000000001,0.9584999999999999
48,0.956,0.915,0.949,0.9345,0.8845000000000001,0.844,0.956,0.8815,0.8674999999999999,0.975,0.944,0.958
